"X","genre","loudness"
360,"Dance",-3.818
361,"Dance",-2.718
362,"Dance",-3.177
363,"Dance",-4.44
364,"Dance",-5.926
365,"Dance",-3.846
366,"Dance",-6.556
367,"Dance",-6.646
368,"Dance",-5.899
369,"Dance",-5.353
370,"Dance",-3.417
371,"Dance",-6.067
372,"Dance",-5.28
373,"Dance",-9.198
374,"Dance",-9.343
375,"Dance",-7.316
376,"Dance",-9.78
377,"Dance",-3.173
378,"Dance",-6.673
379,"Dance",-4.653
380,"Dance",-3.692
381,"Dance",-4.612
382,"Dance",-5.08
383,"Dance",-3.046
384,"Dance",-3.318
385,"Dance",-4.237
386,"Dance",-6.215
387,"Dance",-5.963
388,"Dance",-4.969
389,"Dance",-7.031
390,"Dance",-5.881
391,"Dance",-5.241
392,"Dance",-9.609
393,"Dance",-3.358
394,"Dance",-7.462
395,"Dance",-9.483
396,"Dance",-4.674
397,"Dance",-6.025
398,"Dance",-8.235
399,"Dance",-30.016
400,"Dance",-1.829
401,"Dance",-4.339
402,"Dance",-6.406
403,"Dance",-4.581
404,"Dance",-6.758
405,"Dance",-6.271
406,"Dance",-2.104
407,"Dance",-8.36
408,"Dance",-6.719
409,"Dance",-6.64
410,"Dance",-5.594
411,"Dance",-5.734
412,"Dance",-6.323
413,"Dance",-8.017
414,"Dance",-4.166
415,"Dance",-3.862
416,"Dance",-4.637
417,"Dance",-8.335
418,"Dance",-8.273
419,"Dance",-4.474
420,"Dance",-4.087
421,"Dance",-6.897
422,"Dance",-3.166
423,"Dance",-6.333
424,"Dance",-3.089
425,"Dance",-5.886
426,"Dance",-4.761
427,"Dance",-6.041
428,"Dance",-6.885
429,"Dance",-4.829
430,"Dance",-5.108
431,"Dance",-7.834
432,"Dance",-3.851
433,"Dance",-4.586
434,"Dance",-7.749
435,"Dance",-6.162
436,"Dance",-7.52
437,"Dance",-6.902
438,"Dance",-4.716
439,"Dance",-5.851
440,"Dance",-4.081
441,"Dance",-6.819
442,"Dance",-6.684
443,"Dance",-7.409
444,"Dance",-5.624
445,"Dance",-6.456
446,"Dance",-3.715
447,"Dance",-7.747
448,"Dance",-8.821
449,"Dance",-3.655
450,"Dance",-3.106
451,"Dance",-5.444
452,"Dance",-6.282
453,"Dance",-5.298
454,"Dance",-11.893
455,"Dance",-4.221
456,"Dance",-6.304
457,"Dance",-5.439
458,"Dance",-8.415
459,"Dance",-5.61
460,"Dance",-4.346
461,"Dance",-7.928
462,"Dance",-3.337
463,"Dance",-3.863
464,"Dance",-5.351
465,"Dance",-4.783
466,"Dance",-4.387
467,"Dance",-7.14
468,"Dance",-3.105
469,"Dance",-5.137
470,"Dance",-6.929
471,"Dance",-5.072
472,"Dance",-7.245
473,"Dance",-6.333
474,"Dance",-6.224
475,"Dance",-6.031
476,"Dance",-4.369
477,"Dance",-5.675
478,"Dance",-6.081
479,"Dance",-6.479
480,"Dance",-5.036
481,"Dance",-7.161
482,"Dance",-6.544
483,"Dance",-5.971
484,"Dance",-2.728
485,"Dance",-8.408
486,"Dance",-11.994
487,"Dance",-6.231
488,"Dance",-4.173
489,"Dance",-6.665
490,"Dance",-4.938
491,"Dance",-6.76
492,"Dance",-5.484
493,"Dance",-7.366
494,"Dance",-3.108
495,"Dance",-5.084
496,"Dance",-3.796
497,"Dance",-4.864
498,"Dance",-6.396
499,"Dance",-5.237
500,"Dance",-5.439
501,"Dance",-4.119
502,"Dance",-6.252
503,"Dance",-4.285
504,"Dance",-4.918
505,"Dance",-4.977
506,"Dance",-7.287
507,"Dance",-4.485
508,"Dance",-5.53
509,"Dance",-2.921
510,"Dance",-7.617
511,"Dance",-5.271
512,"Dance",-4.5
513,"Dance",-3.081
514,"Dance",-5.582
515,"Dance",-5.284
516,"Dance",-6.871
517,"Dance",-7.208
518,"Dance",-8.122
519,"Dance",-4.126
520,"Dance",-6.262
521,"Dance",-5.71
522,"Dance",-6.121
523,"Dance",-4.682
524,"Dance",-6.343
525,"Dance",-5.398
526,"Dance",-5.849
527,"Dance",-4.838
528,"Dance",-4.088
529,"Dance",-5.095
530,"Dance",-7.489
531,"Dance",-4.437
532,"Dance",-4.802
533,"Dance",-3.97
534,"Dance",-4.809
535,"Dance",-4.446
536,"Dance",-5.745
537,"Dance",-2.631
538,"Dance",-3.556
539,"Dance",-5.797
540,"Dance",-5.834
541,"Dance",-3.914
542,"Dance",-5.238
543,"Dance",-5.573
544,"Dance",-4.068
545,"Dance",-4.751
546,"Dance",-6.078
547,"Dance",-7.417
548,"Dance",-6.126
549,"Dance",-3.36
550,"Dance",-2.384
551,"Dance",-6.682
552,"Dance",-6.126
553,"Dance",-5.153
554,"Dance",-4.874
555,"Dance",-5.183
556,"Dance",-7.339
557,"Dance",-4.134
558,"Dance",-6.745
559,"Dance",-5.933
560,"Dance",-5.362
561,"Dance",-3.871
562,"Dance",-3.739
563,"Dance",-7.762
564,"Dance",-5.731
565,"Dance",-3.142
566,"Dance",-8.815
567,"Dance",-4.01
568,"Dance",-9.931
569,"Dance",-4.918
570,"Dance",-5.194
571,"Dance",-4.862
572,"Dance",-8.645
573,"Dance",-3.54
574,"Dance",-8.513
575,"Dance",-6.35
576,"Dance",-8.126
577,"Dance",-6.872
578,"Dance",-5.363
579,"Dance",-5.856
580,"Dance",-6.199
581,"Dance",-4.411
582,"Dance",-6.365
583,"Dance",-5.175
584,"Dance",-5.234
585,"Dance",-4.915
586,"Dance",-6.4
587,"Dance",-6.735
588,"Dance",-6.833
589,"Dance",-5.672
590,"Dance",-2.907
591,"Dance",-9.881
592,"Dance",-4.929
593,"Dance",-4.802
594,"Dance",-5.728
595,"Dance",-4.968
596,"Dance",-6.72
597,"Dance",-6.013
598,"Dance",-9.405
599,"Dance",-9.958
600,"Dance",-5.335
601,"Dance",-4.978
602,"Dance",-6.348
603,"Dance",-5.967
604,"Dance",-4.402
605,"Dance",-7.363
606,"Dance",-4.02
607,"Dance",-2.808
608,"Dance",-6.114
609,"Dance",-9.874
610,"Dance",-5.465
611,"Dance",-7.365
612,"Dance",-7.541
613,"Dance",-3.206
614,"Dance",-4.666
615,"Dance",-5.273
616,"Dance",-3.209
617,"Dance",-8.318
618,"Dance",-6.669
619,"Dance",-5.337
620,"Dance",-2.451
621,"Dance",-5.369
622,"Dance",-9.237
623,"Dance",-4.062
624,"Dance",-4.223
625,"Dance",-11.523
626,"Dance",-6.67
627,"Dance",-5.569
628,"Dance",-12.044
629,"Dance",-3.583
630,"Dance",-4.982
631,"Dance",-5.691
632,"Dance",-4.802
633,"Dance",-5.693
634,"Dance",-5.331
635,"Dance",-4.513
636,"Dance",-4.917
637,"Dance",-4.934
638,"Dance",-6.341
639,"Dance",-6.161
640,"Dance",-4.373
641,"Dance",-5.97
642,"Dance",-7.82
643,"Dance",-2.496
644,"Dance",-5.948
645,"Dance",-5.795
646,"Dance",-2.998
647,"Dance",-7.902
648,"Dance",-4.277
649,"Dance",-7.289
650,"Dance",-6.543
651,"Dance",-4.548
652,"Dance",-4.126
653,"Dance",-5.688
654,"Dance",-6.879
655,"Dance",-8.539
656,"Dance",-5.637
657,"Dance",-4.505
658,"Dance",-5.637
659,"Dance",-4.515
660,"Dance",-4.876
661,"Dance",-3.493
662,"Dance",-4.443
663,"Dance",-3.363
664,"Dance",-5.268
665,"Dance",-3.799
666,"Dance",-8.644
667,"Dance",-6.266
668,"Dance",-7.909
669,"Dance",-6.652
670,"Dance",-3.398
671,"Dance",-7.812
672,"Dance",-2.937
673,"Dance",-7.462
674,"Dance",-6.7
675,"Dance",-4.6
676,"Dance",-3.503
677,"Dance",-6.745
678,"Dance",-4.353
679,"Dance",-4.496
680,"Dance",-4.097
681,"Dance",-6.45
682,"Dance",-4.464
683,"Dance",-7.461
684,"Dance",-3.694
685,"Dance",-7.581
686,"Dance",-3.975
687,"Dance",-6.951
688,"Dance",-6.035
689,"Dance",-10.313
690,"Dance",-6.021
691,"Dance",-4.791
692,"Dance",-6.066
693,"Dance",-2.72
694,"Dance",-5.196
695,"Dance",-5.986
696,"Dance",-6.039
697,"Dance",-6.464
698,"Dance",-9.321
699,"Dance",-8.792
700,"Dance",-3.923
701,"Dance",-6.379
702,"Dance",-3.48
703,"Dance",-8.227
704,"Dance",-5.587
705,"Dance",-5.221
706,"Dance",-4.594
707,"Dance",-5.571
708,"Dance",-5.987
709,"Dance",-3.059
710,"Dance",-4.639
711,"Dance",-6.544
712,"Dance",-6.187
713,"Dance",-6.829
714,"Dance",-4.946
715,"Dance",-6.394
716,"Dance",-3.87
717,"Dance",-5.745
718,"Dance",-3.782
719,"Dance",-7.055
720,"Dance",-2.915
721,"Dance",-7.399
722,"Dance",-5.507
723,"Dance",-5.921
724,"Dance",-4.091
725,"Dance",-7.428
726,"Dance",-4.551
727,"Dance",-4.3
728,"Dance",-5.944
729,"Dance",-3.402
730,"Dance",-4.672
731,"Dance",-5.673
732,"Dance",-6.39
733,"Dance",-8.858
734,"Dance",-3.956
735,"Dance",-6.639
736,"Dance",-6.255
737,"Dance",-6.61
738,"Dance",-4.331
739,"Dance",-5.293
740,"Dance",-10.021
741,"Dance",-5.226
742,"Dance",-5.074
743,"Dance",-6.422
744,"Dance",-2.726
745,"Dance",-4.696
746,"Dance",-3.112
747,"Dance",-7.095
748,"Dance",-6.448
749,"Dance",-7.562
750,"Dance",-4.126
751,"Dance",-4.282
752,"Dance",-5.196
753,"Dance",-11.855
754,"Dance",-8.337
755,"Dance",-4.141
756,"Dance",-5.34
757,"Dance",-6.201
758,"Dance",-5.572
759,"Dance",-5.324
760,"Dance",-4.751
761,"Dance",-4.741
762,"Dance",-8.929
763,"Dance",-6.565
764,"Dance",-5.688
765,"Dance",-6.185
766,"Dance",-4.1
767,"Dance",-10.38
768,"Dance",-5.404
769,"Dance",-5.614
770,"Dance",-4.531
771,"Dance",-5.619
772,"Dance",-5.221
773,"Dance",-5.098
774,"Dance",-5.149
775,"Dance",-2.842
776,"Dance",-6.502
777,"Dance",-4.21
778,"Dance",-8.834
779,"Dance",-3.742
780,"Dance",-7.124
781,"Dance",-4.516
782,"Dance",-4.897
783,"Dance",-4.307
784,"Dance",-3.715
785,"Dance",-4.662
786,"Dance",-3.974
787,"Dance",-7.018
788,"Dance",-5.488
789,"Dance",-5.199
790,"Dance",-6.684
791,"Dance",-8.821
792,"Dance",-8.55
793,"Dance",-7.499
794,"Dance",-4.82
795,"Dance",-4.457
796,"Dance",-6.692
797,"Dance",-2.944
798,"Dance",-6.826
799,"Dance",-3.865
800,"Dance",-4.997
801,"Dance",-5.283
802,"Dance",-6.771
803,"Dance",-8.57
804,"Dance",-4.978
805,"Dance",-12.437
806,"Dance",-6.596
807,"Dance",-4.793
808,"Dance",-7.58
809,"Dance",-4.724
810,"Dance",-8.307
811,"Dance",-4.995
812,"Dance",-7.585
813,"Dance",-9.283
814,"Dance",-6.096
815,"Dance",-3.43
816,"Dance",-4.291
817,"Dance",-4.794
818,"Dance",-6.24
819,"Dance",-2.068
820,"Dance",-7.056
821,"Dance",-4.369
822,"Dance",-4.962
823,"Dance",-5.814
824,"Dance",-6.484
825,"Dance",-4.342
826,"Dance",-5.534
827,"Dance",-5.995
828,"Dance",-5.154
829,"Dance",-6.784
830,"Dance",-3.145
831,"Dance",-6.794
832,"Dance",-4.405
833,"Dance",-4.344
834,"Dance",-4.07
835,"Dance",-9.19
836,"Dance",-2.682
837,"Dance",-5.121
838,"Dance",-5.231
839,"Dance",-4.946
840,"Dance",-4.093
841,"Dance",-5.894
842,"Dance",-5.342
843,"Dance",-9.493
844,"Dance",-5.508
845,"Dance",-7.752
846,"Dance",-4.897
847,"Dance",-10.499
848,"Dance",-2.027
849,"Dance",-3.139
850,"Dance",-9.359
851,"Dance",-6.985
852,"Dance",-4.15
853,"Dance",-4.117
854,"Dance",-10.192
855,"Dance",-6.749
856,"Dance",-6.686
857,"Dance",-7.002
858,"Dance",-4.421
859,"Dance",-7.879
860,"Dance",-4.581
861,"Dance",-8.346
862,"Dance",-5.084
863,"Dance",-4.819
864,"Dance",-5.891
865,"Dance",-4.862
866,"Dance",-3.685
867,"Dance",-5.133
868,"Dance",-4.718
869,"Dance",-11.984
870,"Dance",-4.543
871,"Dance",-7.264
872,"Dance",-5.851
873,"Dance",-6.381
874,"Dance",-4.826
875,"Dance",-4.952
876,"Dance",-7.205
877,"Dance",-4.985
878,"Dance",-4.171
879,"Dance",-3.642
880,"Dance",-4.676
881,"Dance",-3.382
882,"Dance",-4.155
883,"Dance",-7.773
884,"Dance",-7.554
885,"Dance",-6.161
886,"Dance",-6.72
887,"Dance",-3.709
888,"Dance",-4.782
889,"Dance",-6.107
890,"Dance",-5.342
891,"Dance",-4.473
892,"Dance",-5.452
893,"Dance",-3.113
894,"Dance",-7.783
895,"Dance",-6.927
896,"Dance",-5.459
897,"Dance",-2.697
898,"Dance",-6.266
899,"Dance",-11.067
900,"Dance",-4.666
901,"Dance",-4.582
902,"Dance",-4.789
903,"Dance",-5.59
904,"Dance",-5.281
905,"Dance",-7.775
906,"Dance",-3.536
907,"Dance",-5.426
908,"Dance",-4.72
909,"Dance",-4.446
910,"Dance",-5.906
911,"Dance",-4.781
912,"Dance",-8.607
913,"Dance",-7.345
914,"Dance",-7.47
915,"Dance",-8.891
916,"Dance",-4.042
917,"Dance",-11.617
918,"Dance",-3.469
919,"Dance",-6.286
920,"Dance",-6.722
921,"Dance",-3.314
922,"Dance",-5.905
923,"Dance",-5.913
924,"Dance",-3.249
925,"Dance",-4.785
926,"Dance",-3.539
927,"Dance",-4.505
928,"Dance",-4.567
929,"Dance",-5.449
930,"Dance",-6.335
931,"Dance",-2.986
932,"Dance",-5.156
933,"Dance",-5.301
934,"Dance",-6.138
935,"Dance",-3.37
936,"Dance",-9.059
937,"Dance",-6.61
938,"Dance",-5.372
939,"Dance",-2.597
940,"Dance",-6.335
941,"Dance",-3.913
942,"Dance",-9.369
943,"Dance",-5.82
944,"Dance",-4.951
945,"Dance",-7.783
946,"Dance",-5.647
947,"Dance",-6.14
948,"Dance",-5.194
949,"Dance",-4.493
950,"Dance",-2.891
951,"Dance",-6.331
952,"Dance",-11.471
953,"Dance",-7.772
954,"Dance",-12.697
955,"Dance",-6.697
956,"Dance",-7.182
957,"Dance",-5.471
958,"Dance",-6.025
959,"Dance",-9.751
960,"Dance",-5.098
961,"Dance",-3.253
962,"Dance",-3.602
963,"Dance",-4.621
964,"Dance",-6.279
965,"Dance",-6.626
966,"Dance",-4.036
967,"Dance",-9.092
968,"Dance",-4.441
969,"Dance",-3.614
970,"Dance",-5.356
971,"Dance",-6.187
972,"Dance",-6.223
973,"Dance",-5.198
974,"Dance",-3.85
975,"Dance",-4.951
976,"Dance",-6.109
977,"Dance",-3.729
978,"Dance",-4.92
979,"Dance",-3.599
980,"Dance",-4.643
981,"Dance",-5.031
982,"Dance",-3.971
983,"Dance",-9.361
984,"Dance",-6.598
985,"Dance",-5.368
986,"Dance",-4.805
987,"Dance",-3.051
988,"Dance",-4.217
989,"Dance",-3.067
990,"Dance",-8.864
991,"Dance",-3.845
992,"Dance",-6.945
993,"Dance",-6.933
994,"Dance",-5.07
995,"Dance",-6.897
996,"Dance",-7.664
997,"Dance",-5.603
998,"Dance",-9.375
999,"Dance",-8.851
1000,"Dance",-4.762
1001,"Dance",-8.698
1002,"Dance",-7.472
1003,"Dance",-5.024
1004,"Dance",-9.247
1005,"Dance",-5.338
1006,"Dance",-3.987
1007,"Dance",-4.996
1008,"Dance",-6.077
1009,"Dance",-7.321
1010,"Dance",-6.007
1011,"Dance",-3.287
1012,"Dance",-2.994
1013,"Dance",-4.138
1014,"Dance",-6.735
1015,"Dance",-6.486
1016,"Dance",-5.065
1017,"Dance",-10.045
1018,"Dance",-7.299
1019,"Dance",-5.027
1020,"Dance",-6.806
1021,"Dance",-8.454
1022,"Dance",-7.283
1023,"Dance",-5.429
1024,"Dance",-4.63
1025,"Dance",-6.029
1026,"Dance",-5.377
1027,"Dance",-19.846
1028,"Dance",-8.125
1029,"Dance",-4.123
1030,"Dance",-3.586
1031,"Dance",-4.458
1032,"Dance",-3.811
1033,"Dance",-8.484
1034,"Dance",-5.834
1035,"Dance",-4.078
1036,"Dance",-9.829
1037,"Dance",-11.004
1038,"Dance",-2.559
1039,"Dance",-8.669
1040,"Dance",-5.682
1041,"Dance",-4.761
1042,"Dance",-3.614
1043,"Dance",-3.419
1044,"Dance",-3.191
1045,"Dance",-5.578
1046,"Dance",-6.482
1047,"Dance",-6.419
1048,"Dance",-4.287
1049,"Dance",-4.744
1050,"Dance",-8.723
1051,"Dance",-10.858
1052,"Dance",-13.811
1053,"Dance",-6.9
